metric_type,seed_id,contamination,anomalies_flagged,mean_score,std_score,spearman_rho_vs_baseline,jaccard_vs_baseline
seed_instance,42,0.05,6364,0.07889912619890385,0.041669422121433,1.0,1.0
seed_instance,100,0.05,6350,0.0785358412078873,0.04192984064745427,0.9343825443738782,0.6264551618267877
seed_instance,2024,0.05,6364,0.07550515887169522,0.04050338644159416,0.9477869167349963,0.6977457649726557
seed_instance,7,0.05,6362,0.07836346146718493,0.04215848453888244,0.9308589784814607,0.6499416569428238
seed_instance,999,0.05,6364,0.07287257962483308,0.038862935812106286,0.939357887367316,0.6463588151597465
pairwise_stability,42_vs_100,0.05,6364,0.0,0.0,0.9343825443738782,0.6264551618267877
pairwise_stability,42_vs_2024,0.05,6364,0.0,0.0,0.9477869167349963,0.6977457649726557
pairwise_stability,42_vs_7,0.05,6364,0.0,0.0,0.9308589784814607,0.6499416569428238
pairwise_stability,42_vs_999,0.05,6364,0.0,0.0,0.939357887367316,0.6463588151597465
pairwise_stability,100_vs_2024,0.05,6350,0.0,0.0,0.9419335937313422,0.6329309016182892
pairwise_stability,100_vs_7,0.05,6350,0.0,0.0,0.9439115374867789,0.6590968415557296
pairwise_stability,100_vs_999,0.05,6350,0.0,0.0,0.9484440336549739,0.58925
pairwise_stability,2024_vs_7,0.05,6364,0.0,0.0,0.9219123260377083,0.6471654154801968
pairwise_stability,2024_vs_999,0.05,6364,0.0,0.0,0.9333316892398189,0.6378844421567366
pairwise_stability,7_vs_999,0.05,6362,0.0,0.0,0.9318753596325585,0.6317476599564047
contamination_sensitivity,42,0.01,1273,0.01,100.0,1.0,0.2000314267756128
contamination_sensitivity,42,0.03,3818,0.03,100.0,1.0,0.5999371464487744
contamination_sensitivity,42,0.05,6364,0.05,100.0,1.0,1.0
contamination_sensitivity,42,0.1,12727,0.1,100.0,1.0,0.5000392865561405
